term,LID,LID_old,non-lexeme,questionable,lexical_category,sense,Stem,Root,CDA_page,CDA_numeral,CAD_page,CAD_letter,RlA_page,AHw_page,FrayneStuckey_page,alternate_spelling,logogram,alternative_logogram,assyrian_dialect,sumerian_loanword,aramaic_loanword,west_semitic,hurrian_loanword
enēnu,L1086462,L1086462,,,verb,punish,G,,73,II,,,,,,anānu,,,,,,,
enēšu,L1086463,L1086463,,,verb,be(come) weak;make weak;weaken,G,,73,,,,,,,,,,,,,,
Enkidu,L1086464,L1086464,,,pn,Friend of Gilgamesh,,,,,,,2;382,,93,Enkimdu,,,,,,,
ennettu,L1086465,L1086465,,,noun,punishment,,,74,,,,,,,,,,,,,,
enû,L1086466,L1086466,,,verb,alter;change,G,,74,,,,,,,,BAL,,,,,,
Enūma Anu Enlil,L1086467,L1086467,,,pn,an astrological compendium,,,,,,,2;403,,,,,,,,,,
Enūma eliš,L1086468,L1086468,,,pn,a Babylonian literary work,,,,,,,2;403,,,,,,,,,,
enūtu,L1086469,L1086469,,,noun,lordship,,,74,,,,,,,,,,,,,,
epēqu,L1086470,L1086470,,,verb,embrace;grow around,G,,74,,,,,,,,,,,,,,
epertu,L1086471,L1086471,,,noun,fired brick,,,74,,,,,,,,,,,,,,
epēšu,L1086472,L1086472,,,verb,do;make;build,G,,75,,,,,,,,,,,,,,
epru,L1086473,L1086473,,,noun,dust,,,74,,,,,,,eperu,,,,,,,
eqel qašti,L1086474,L1086474,,,noun,bow-field' (estate of military colonist),,,286,,,,,,,,,,,,,,
eqlu,L1086475,L1086475,,,noun,country;field;land,,,76,,,,,,,,A.ŠA₃,,,,,,
erbettu,L1086476,L1086476,,,num,four,,,76,,,,,,,,,,,,,,
erbu,L1086477,L1086477,,,noun,income,,,76,,,,,,,,,,,,,,
erbu,L1086478,L1086478,,,noun,sunset,,,77,,,,,,,,,,,,,,
erbû,L1086479,L1086479,,,noun,locust,,,77,,,,,,,,,,,,,,
erēbu,L1086480,L1086480,,,verb,bring in;bringing in;come in;coming in;delivery;enter;entering;entrance;entry;have enter;introduce;make enter;occultation;onset;set;setting,G,,77,,,,,,,,,,,,,,
erēbu,L1086481,L1086481,,,noun,raven,,,77,,,,,,,,,,,,,,
ereqqu,L1086482,L1086482,,,noun,wagon,,,77,,,,,,,,GIŠ.MAR.GID₂,,,,,,
Ereškigal,L1086483,L1086483,,,pn,goddess of the underworld,,,,,,,2;463,,100,,,,,,,,
erēšu,L1086484,L1086484,,,verb,desire;request;request,G,,77,,,,,,,,,,,,,,
erēšu,L1086485,L1086485,,,verb,cultivate;cultivation;sowing,G,,77,,,,,,,,,,,,,,
erkallu,L1086486,L1086486,,,noun,netherworld,,,77,,,,,242,,,,,,L1086084,,,
ermu,L1086487,L1086487,,,noun,cover;envelope,,,79,,,,,,,,,,,,,,
erru,L1086488,L1086488,,,noun,entrails;intestine(s),,,79,,,,,,,,,,,,,,
eršahungû,L1086489,L1086489,,,noun,liturgical work meant to appease the heart of a god,,,,,,,2;471,,,,,,,,,,
erṣetu,L1086490,L1086490,,,noun,earth;netherworld,,,79,,,,,,,,,,,,,,
erû,L1086491,L1086491,,,noun,bronze;copper,,,80,,,,,,,,,,,,,,
erû,L1086492,L1086492,,,noun,eagle,,,80,,,,,,,,,,,,,,
erû,L1086493,L1086493,,,noun,grindstone,,,80,,,,,,,,,,,,,,
Esagil,L1086494,L1086494,,,pn,temple of Marduk in Babylon,,,,,,,2;474,,,,,,,,,,
eṣēdu,L1086495,L1086495,,,verb,harvest;harvest,G,,80,,,,,,,,,,,,,,
ešertu,L1086496,L1086496,,,noun,shrine,,,82,,,,,,,,,,,,,,
ešertu,L1086497,L1086497,,,noun,group of ten,,,82,,,,,,,,,,,,,,
ešēru,L1086498,L1086498,,,verb,be well;be straight,G,,82,,,,,,,,,,,,,,
eṣēru,L1086499,L1086499,,,verb,design;draw,G,,81,,,,,,,,,,,,,,
eššēšu,L1086500,L1086500,,,noun,(a feast day),,,83,,,,,,,,,,,,,,
Etana,L1086501,L1086501,,,pn,epic literary figure,,,,,,,2;481,,,,,,,,,,
eṭemmu,L1086502,L1086502,,,noun,ghost,,,84,,,,,,,,,,,,,,
etēqu,L1086503,L1086503,,,verb,bring over;carry out;cross over;crossing;execute;forward;get moved by;go past;ignore continually;let avert;let exercise;let go by;make pass by;make pass on;make pass;making pass by;making pass by;march;move past;pass by;pass on;pass;passing on;passing;perform;prevention;proceed;sweep;sweeping;traverse,G,,84,,,,,,,,,,,,,,
eṭēru,L1086504,L1086504,,,verb,pay off,G,,85,,,,,,,,,,,,,,
eṭēru,L1086505,L1086505,,,verb,be(come saved);be(come) saved;rescue;save;take away,G,,85,,,,,,,,,,,,,,
ewû,L1086506,L1086506,,,verb,become,G,,85,,,,,,,,,,,,,,
ezēhu,L1086507,L1086507,,,verb,gird on,G,,85,,,,,,,,,,,,,,
gadāmu,L1086508,L1086508,,,verb,cut off,,,87,,,,,,,,,,,,,,
gāgu,L1086509,L1086509,,,noun,necklace,,,88,,,,,,,,,,,,,,
gallû,L1086510,L1086510,,,noun,(a demon),,,88,,,,,,,,,,,,,,
galû,L1086511,L1086511,,,verb,be(come) deported;deport;emigrate;exile;send into exile;smuggle,G,,88,,,,,,,,,,,,,,
gamāru,L1086512,L1086512,,,verb,be(come) finished;be(come) used up;come to an end;complete;completion;do to the full;finish off;finish;finishing;perfect,G,,89,,,,,,,,,,,,,,
garāru,L1086513,L1086513,,,verb,"writhe,grovel,roll",G,,90,,,,,,,qarāru,,,,,,,
gaṣāṣu,L1086514,L1086514,,,verb,grind,G,,91,,,,,,,kaṣāṣu;kazāzu,,,,,,,
gaṣṣu,L1086515,L1086515,,,adj,murderous,,,91,,,,,,,,,,,,,,
gaṣṣu,L1086516,L1086516,,,adj,disfigured;severed;trimmed,,,91,,,,,,,,,,,,,,
gaṣṣu,L1086517,L1086517,,,noun,gypsum,,,91,,,,,,,,,,,,,,
gerru,L1086518,L1086518,,,noun,(military) campaign;road,,,92,,,,,,,,,,,,,,
gerû,L1086519,L1086519,,,verb,argue;claim;contest;initiate;quarrel;start a lawsuit,G,,92,,,,,,,,,,,,,,
gidimmu,L1086520,L1086520,,,noun,ladle,,,92,,,,,,,,,,,,,,
Gilgameš,L1086521,L1086521,,,pn,legendary Mesopotamian hero,,,,,,,3;357,,,,,,,,,,
Gimir,L1086522,L1086522,,,pn,Cimmerians,,,,,,,3;376,,,,,,,,,,
ginû,L1086523,L1086523,,,noun,ordinary;regular offering,,,93,,,,,,,,,,,,,,
gipāru,L1086524,L1086524,,,noun,resident of entu in temple,,,93,,,,,,,,,,,,,,
girru,L1086525,L1086525,,,noun,fire;fire-god,,,93,,,,,,,gīru,,,,,,,
gišallu,L1086526,L1086526,,,noun,"rudder,boat-pole",,,94,,,,,,,,,,,,,,
giskimmu,L1086527,L1086527,,,noun,sign;omen,,,94,,,,,,,,,,,,,,
gišparru,L1086528,L1086528,,,noun,trap,,,94,,,,,,,,,,,,,,
giṣṣu,L1086529,L1086529,,,noun,thorn;thorn-bush,,,94,,,,,,,,,,,,,,
gullubu,L1086530,L1086530,,,verb,shear;shave,D,,96,,,,,,,,,,,,,,
gullubu,L1086531,L1086531,,,adj,shaved,,,96,,,,,,,,,,,,,,
habālu,L1086532,L1086532,,,verb,borrow;owe,G,,98,,,,,,,,,,,,,,
habālu,L1086533,L1086533,,,verb,do wrong;do wrong;harm;injustice;oppression;take away by force;wrong,G,,98,,,,,,,,,,,,,,
habātu,L1086534,L1086534,,,noun,harm;injustice;oppression;take away by force,,,98,,,,,,,,,,,,,,
habātu,L1086535,L1086535,,,verb,"plunder,rob",G,,99,,,,,,,,,,,,,,
habtu,L1086536,L1086536,,,adj,carried off;plundered one;plundered;robbed;stolen;taken captive,,,100,,,,,,,,,,,,,,
hadādu,L1086537,L1086537,,,verb,"roar,rustle",G,,100,,,,,,,,,,,,,,
hadû,L1086538,L1086538,,,verb,be(come) glad;be(come) joyful,G,,100,,,,,,,,,,,,,,
hadû,L1086539,L1086539,,,verb,cut off,G,,100,,,,,,,,,,,,yes,,
hadû,L1086540,L1086540,,,noun,joy,,,100,,,,,,,,,,,,,,
hadû,L1086541,L1086541,,,adj,joyful,,,100,,,,,,,,,,,,,,
halālu,L1086542,L1086542,,,verb,slink,G,,101,,,,,,,,,,,,,,
halālu,L1086543,L1086543,,,verb,pipe;murmur,G,,101,,,,,,,,,,,,,,
hallu,L1086544,L1086544,,,noun,thigh,,,102,,,,,,,,,,,L643752,,,
hallu,L1086545,L1086545,,,noun,vinegar,,,102,,,,,,,,,,,,yes,,
halluptu,L1086546,L1086546,,,noun,armor,,,102,,,,,,,,,,,,,,
halqu,L1086547,L1086547,,,adj,lost;fugitive,,,102,,,,,,,,,,,,,,
halṣu,L1086548,L1086548,,,adj,filtered;combed,,,103,,,,,,,,,,,,,,
halṣu,L1086549,L1086549,,,noun,district;fortress,,,103,,,,,,,,,,,,,,
hamāmu,L1086550,L1086550,,,verb,gather;collect,G,,103,,,,,,,,,,,,,,
hamāṭu,L1086557,L1086557,,,verb,hasten,G,,103,,,,,,,,,,,,,,
