ikkillu,noun,L1086595
illatu,noun,L1086596
illurtu,noun,L1086597
imbaru,noun,L1086599
īnu,noun,L1086607
išātu,noun,L1086610
iṣṣuru,noun,L1086615
izbu,noun,L1086622
imtu,noun,L1086603
iṣṣu,noun,L1086613
ittu,noun,L1086620
išparu,noun,L1086612
iṣṣur hurri,noun,L1086614
kabattu,noun,L1086627
irtu,noun,L1086608
ištānu,noun,L1086616
ištaru,noun,L1086617
isu,noun,L1086618
itû,noun,L1086621
kadrû,noun,L1086632
kakkišu,noun,L1086633
kakku,noun,L1086634
kalūmu,noun,L1086640
kalû,determiner,L1086639
līpu,noun,L1086746
makāṣu,noun,L1086766
maksû,noun,L1086767
mamītu,noun,L1086770
marru,adjective,L1086778
maṣallu,noun,L1086783
lišānu,noun,L1086747
lubāru,noun,L1086749
lubuštu,noun,L1086750
lumāšu,noun,L1086751
mahhû,noun,L1086758
mašennu,noun,L1086785
magarru,noun,L1086754
mākālu,noun,L1086764
malahhu,noun,L1086768
markasu,noun,L1086777
minûtu,noun,L1086803
maqlû,noun,L1086772
Maqlû,noun,L1086773
maṣṣartu,noun,L1086790
mātu,noun,L1086795
melammu,noun,L1086797
mihiṣtu,noun,L1086801
kāsu,noun,L1086681
kātimtu,noun,L1086685
kerṣu,noun,L1086687
kibrat erbetti,noun,L1086689
kibru,noun,L1086690
kilīlu,noun,L1086692
kimtu,noun,L1086695
kirû,noun,L1086700
kisittu,noun,L1086703
kitû,noun,L1086709
kīlu,noun,L1086693
kilūbu,noun,L1086694
kindabašše,noun,L1086696
kirinnu,noun,L1086699
kišādu,noun,L1086701
kispu,noun,L1086704
kiṣru,noun,L1086705
kippatu,noun,L1086698
kišukku,noun,L1086708
kubšu,noun,L1086710
kunukku,noun,L1086713
kursimtu,noun,L1086715
kursinnu,noun,L1086716
kurṣiptu,noun,L1086717
kurummutu,noun,L1086718
kūṣu,noun,L1086721
labbu,adjective,L1086726
lagā'u,noun,L1086727
lalā'u,noun,L1086729
lardu,noun,L1086736
lagabbu,noun,L1086728
lamassu,noun,L1086730
lamaštu,noun,L1086731
lētu,noun,L1086742
malīlu,noun,L1086769
libittu,noun,L1086744
narkabtu,noun,L1086859
namzāqu,noun,L1086847
nannāru,noun,L1086849
narāmu,noun,L1086858
nāru,noun,L1086860
nashuru,noun,L1086869
našru,noun,L1086870
nēbuhu,noun,L1086880
nēmelu,noun,L1086883
nēmequ,noun,L1086884
nēšu,noun,L1086889
padānu,noun,L1090928
passu,noun,L1090932
mahru,adjective,L1086760
maṣhatu,noun,L1086786
mašqaltu,noun,L1086789
mīlu,noun,L1086802
mašku,noun,L1086787
mašmaššu,noun,L1086788
miṭirtu,noun,L1086806
muhhu,noun,L1086810
māhāzu,noun,L1086757
māt Aššur,noun,L1086792
mešrēti,noun,L1086798
mīrānu,noun,L1086804
misarru,noun,L1086805
mukru,noun,L1086812
muma''iru,noun,L1086813
mukanzibtu,noun,L1086811
mūru,noun,L1086816
mušhuššu,noun,L1086818
nabnītu,noun,L1086823
mungu,noun,L1086814
muraššû,noun,L1086815
mušarû,noun,L1086817
mūšu,noun,L1086819
nabṭû,noun,L1086824
nahlaptu,noun,L1086836
nahīru,noun,L1086835
nalšu,noun,L1086844
namzītu,noun,L1086848
napaštu,noun,L1086852
nīqu,noun,L1086891
nišû,noun,L1086894
nīšu,noun,L1086895
nūnu,noun,L1086898
palgu,noun,L1086908
nērāru,noun,L1086887
nīš ili,noun,L1086892
niṣirtu,noun,L1086893
nuhšū,noun,L1086897
palû,noun,L1086909
panātu,noun,L1086910
panītu,noun,L1086911
pānu,noun,L1086913
pû,noun,L1086963
parṣu,noun,L1086925
pēmtu,noun,L1086950
pelludû,noun,L1086946
qarnu,noun,L1086989
pelû,verb,L1086948
pēmu,noun,L1086951
pilku,noun,L1086959
qarābu,noun,L1086987
pērtu,noun,L1086952
puhpuhhû,noun,L1086967
qannu,noun,L1086983
paššuru,noun,L1086932
pāṭu,noun,L1086942
qan ṭuppi,noun,L1086982
qatāru,verb,L1086993
qātu,noun,L1086995
patru,noun,L1086940
pūtu,noun,L1086971
qanû,noun,L1086984
pīhātu,noun,L1086958
pišannu,noun,L1086960
pitiltu,noun,L1086961
qurdu,noun,L1087011
rēšu,noun,L1087049
ruqqu,noun,L1087058
rēmu,noun,L1087045
rigmu,noun,L1087051
šalamtu,noun,L1087092
šalāmu,verb,L1087093
qaqqadu,noun,L1086985
qaštu,noun,L1086990
qibītu,noun,L1087000
qimmatu,noun,L1087001
qinnatu,noun,L1087002
qû,noun,L1087004
šā'ilu,noun,L1087067
qinnu,noun,L1087003
qurbūtu,noun,L1087010
qurpissu,noun,L1087012
rabû,verb,L1087018
râmu,verb,L1087034
ša rēši,noun,L1087064
qurbu,adjective,L1087008
ramānu,noun,L1087028
ruṭbu,noun,L1087061
ṣābu,noun,L1087070
rušumtu,noun,L1087060
ruṭibtu,noun,L1087062
ša qurbūti,noun,L1087063
šagalūtu,noun,L1087074
quppu,noun,L1087007
šaplu,adjective,L1088252
šanû,verb,L1088244
sapāru,noun,L1088246
ṣarpu,adjective,L1088272
šedû,noun,L1093394
šu'illakku,noun,L1093395
šalummatu,noun,L1087103
šammu,noun,L1087110
šamnu,noun,L1087111
šangû,noun,L1087116
salītu,noun,L1087096
šangūtu,noun,L1087117
šanītu,noun,L1087120
šāninu,noun,L1087118
santakku,noun,L1087121
kišād nāri,noun,L1087169
šaptu,noun,L1088254
sattuku,noun,L1088282
atta,personal pronoun,L942080
anaku,personal pronoun,L942079
zakû,adjective,L1088416
qalû,verb,L744654
šarāṭu,verb,L744661
naprušu,verb,L1086856
banû,verb,L1086341
ašābu,verb,L748794
damāqu,verb,L746116
rakāsu,verb,L1087025
alāku,verb,L1086292
paṭāru,verb,L1086939
nâqu,verb,L959109
ṭābu,adjective,L1088348
edēšu,verb,L744699
eṣēdu,verb,L1086495
ramû,verb,L1087029
arāku,verb,L744701
ṣamādu,verb,L1087105
izuzzu,verb,L1086623
napāhu,verb,L750243
sanāqu,verb,L744682
eṣēru,verb,L1086499
emēru,verb,L746884
sapāhu,verb,L744658
naklu,verb,L744697
mesû,verb,L1086799
šepû,verb,L1094625
ṣapû,verb,L1094642
sapāku,verb,L1094644
šapāku,verb,L1094645
ṣapānu,verb,L1094646
sapānu,verb,L1094647
šapāpu,verb,L1094648
sapāqu,verb,L1094649
šitpuru,verb,L1094650
ṣapāru,verb,L1094651
sepēru,verb,L1094652
šapāsu,verb,L1094654
šapāšu,verb,L1094653
šapātu,verb,L1094655
šaqālu,verb,L1094656
saqālu,verb,L1094658
šaqāru,verb,L1094659
šurrû,verb,L1094660
surrû,verb,L1094662
šarābu,verb,L1094663
šitrudu,verb,L1094664
sarādu,verb,L1094665
šurruhu,verb,L1094666
ṣarāku,verb,L1094667
šarāku,verb,L1094668
ṣarāmu,verb,L1094669
sarāpu,verb,L1094670
šarāpu,verb,L1094671
šarāqu,verb,L1094672
sarāqu,verb,L1094673
sarāru,verb,L1094674
sarruru,verb,L1094675
ṣarāšu,verb,L1094676
šarāṣu,verb,L1094677
ṣarātu,verb,L1094678
šeṭû,verb,L1094679
šatāhu,verb,L1094680
satālu,verb,L1094681
šatānu,verb,L1094682
šaṭāpu,verb,L1094683
šatāpu,verb,L1094684
šatāqu,verb,L1094685
ṣawwûm,verb,L1094686
šawû,verb,L1094687
ṭiābu,verb,L1094688
ṭâpu,verb,L1094689
tâpu,verb,L1094691
ṭebû,verb,L1094692
galātu,verb,L744670
katāmu,verb,L1086682
akālu,verb,L1086290
mahāṣu,verb,L1086756
ṭapālu,verb,L1088355
taqānu,verb,L1088356
tamû,adjective,L1088353
ṭarādu,verb,L1088357
tebû,verb,L1088366
tabāku,verb,L1088345
tê'u,verb,L1088365
ṭabāhu,verb,L1088344
ṣarapu,verb,L1088267
šatû,verb,L1088283
sêdu,verb,L1088285
šiāhu,verb,L1088297
ṣarāhu,verb,L1088263
šasû,verb,L1088279
siāqu,verb,L1088298
šapāṣu,verb,L1088249
sanāpu,verb,L1094619
šanāṣu,verb,L1094621
sanāšu,verb,L1094622
šapû,verb,L1094624
ultu maṣi,subordinating conjunction,L1088382
išten,numeral,L700419
erbettu,numeral,L1086476
peṣû,adjective,L1086954
daqqu,adjective,L942014
tubbuku,adjective,L942022
kabtu,adjective,L1086631
nebû,adjective,L745374
gitmalu,adjective,L908080
šūzubu,adjective,L1088343
turru,adjective,L1088376
šūlû,adjective,L1088328
šēlu,adjective,L1088289
šuglû,adjective,L1088319
ṣurrupu,adjective,L1088340
šuklulu,verb,L1088322
uppuqu,adjective,L1088389
uṣṣuru,adjective,L1088397
wašṭu,adjective,L1088412
warkû,adjective,L1088406
warqu,adjective,L1088407
ālānû,adjective,L1086296
arkû,adjective,L1086322
dašpu,adjective,L1086122
ahû,adjective,L1086289
dummuqu,adjective,L1086407
ellu,adjective,L1086426
elû,verb,L1086427
damqu,adjective,L1086396
ebbu,adjective,L1086412
eklu,adjective,L1086421
barmu,adjective,L1086346
batqu,adjective,L1086353
belû,verb,L1086355
dannu,adjective,L1086400
elamû,adjective,L1086422
gullubu,verb,L1086530
halqu,adjective,L1086547
habtu,adjective,L1086536
hamṭu,adjective,L1093378
kartu,adjective,L1086663
kamû,verb,L1086645
kašdu,adjective,L1086672
kasmu,adjective,L1086673
kaṣru,adjective,L1086675
kaṣû,verb,L1086678
haṭû,verb,L1086578
hazmu,adjective,L1086581
hubbulu,adjective,L1086586
kabbu,adjective,L1086630
išaru,adjective,L1086609
kabbaru,adjective,L1086629
marṣu,adjective,L1086780
matqu,adjective,L1086793
mahrû,adjective,L1086761
mazû,adjective,L1086796
mahṣu,adjective,L1086762
katmu,adjective,L1086686
kīnu,adjective,L1086697
kullulu,verb,L1086711
kurrû,adjective,L1086714
kuššudu,adjective,L1086720
laptu,adjective,L1086734
lawû,verb,L1086737
leqû,verb,L1086740
nakru,adjective,L1086842
našû,verb,L1086871
naṭû,verb,L1086875
nēhu,adjective,L1086881
mašû,adjective,L1086791
mītu,adjective,L1086808
nabalkutu,verb,L1086820
nabû,verb,L1086826
nadû,verb,L1086833
sarāmu,verb,L1088265
ṣarāpu,verb,L1088268
sekēru,verb,L1088287
šêṭu,verb,L1094325
šukênu,verb,L1088320
suppû,verb,L1088337
lamādu,verb,L1088326
šupêlu,verb,L1088334
takālu,verb,L1088350
urruku,verb,L1083329
halāqu,verb,L1083667
