term,LID,non-lexeme,questionable,lexical_category,sense,CDA_page,CAD_page,RlA_page,AHw_page,FrayneStuckey_page,alternate_spelling,logogram,alternative_logogram,assyrian_dialect,sumerian_loanword,aramaic_loanword,west_semitic
hurāṣu,L1086590,,,noun,gold,121,,,,,,KU₃.GI,,,,,
idu,L1086591,,,noun,arm;side,125,,,,,,A₂,,,,,
īdû,L1086592,,,verb,know,432,,,,,,ZU,,,,,
igāru,L1086593,,,noun,wall,125,,,,,,E₂.GAR₈;IZ.ZI,,,,,
ikkaru,L1086594,,,noun,farmer,126,,,,,inkaru,LU₂.ENGAR,,,,,
ikkillu,L1086595,,,noun,"lamentation,clamour",126,,,AKKIL,,,,,,,,
ilāni,,x,,,,,,,,,,,,,,,
illatu,L1086596,,,noun,group;family clan,127,,,,,illitu;allatu,ILLAT,,ellutu,,,
illurtu,L1086597,,,noun,handcuffs,127,,,,,,,,,,,
ilu,L1086598,,,noun,god,127,,,,,,DINGIR,,,,,
imbaru,L1086599,,,noun,fog;fine drizzle,128,,,,,ibbaru,MURU₉,,,,,
imēru,L1086600,,,noun,donkey,128,,,,,imāru,ANŠE;DUR₃,,emāru,,,
imittu,L1086601,,,noun,right side,128,,,,,emittu,ZAG;A₂.ZI;A₂.ZI.DA;15,,,,,
imittu,L1086602,,,noun,support;imposition;shoulder of animal,128,,,,,emittu,UZU.ZAG;UZU.ZAG.LU,,,,,
imtu,L1086603,,,noun,poison,129,,,,,,,,,,,
ina,L1086604,,,prep,according to;against;among;around;at;behind;by means of;during;for;from;in consequence of;into;on;through;to;under;with,129,,,,,,AŠ,,,,,
Inanna,L1086605,,,pn,goddess of love and war,,,5;74,,143,Ištar,,,,,,
Inšušinak,L1086606,,,pn,Elamite god of Susa,,,5;117,,150,,,,,,,
īnu,L1086607,,,noun,eye;eye-stone;spring,130,,,,,,,,,,,
irtu,L1086608,,,noun,breast;edge;front;towards,131,,,,,iratu,GABA,,,,,
išaru,L1086609,,,adj,straight;correct;normal,132,,,,,išeru,SI.SA₂,,,,,
išātu,L1086610,,,noun,fire,133,,,,,,IZI,,,,,
išdu,L1086611,,,noun,base (a part of the liver);base;stump,133,,,,,,SUHUŠ;UR₂;DUR₂;DU,,,,,
išparu,L1086612,,,noun,weaver,134,,,,,ušparu,LU₂.UŠ.BAR,,,,,
iṣṣu,L1086613,,,noun,tree;wood,132,,,,,iṣu,GIŠ,,eṣṣu,,,
iṣṣur hurri,L1086614,,,noun,rock partridge(?),132,,,,,,BURU₅.HABRUD.DA,,,,,
iṣṣuru,L1086615,,,noun,bird,132,,,,,,MUŠEN,,,,,
ištānu,L1086616,,,noun,north,135,,,,,iltānu,IM.SI.SA₂,,,,,
ištaru,L1086617,,,noun,goddess,135,,,,,ištartu,DINGIR.INNIN,,,,,
isu,L1086618,,,noun,jaw,132,,,,,,UZU.ME.ZE₂.SI,,,,,
ittu,L1086619,,,noun,character;peculiarity;regularity,137,,,,,,A₂,,,,,
ittu,L1086620,,,noun,omen;sign,137,,,,,,ISKIM,,,,,
itû,L1086621,,,noun,"boundary,neighbor",137,,,,,,US₂.SA.DU,,,,,
izbu,L1086622,,,noun,anomaly;malformed birth,137,,,,,,,,,,,
izuzzu,L1086623,,,verb,go to assistance of;make stand;serve;set up;stand;step upon;stop;take up position,138,,,,,uzuzzu,GUB,,itussu,,,
kabābu,L1086624,,,verb,burn,139,,,,,,,,,,,
kabāsu,L1086625,,,verb,tread;trample,139,,,,,kabāšu (Am.),ZUKUM,,,,,
kabāšu,L1086626,,,verb,put headgear on,139,,,,,,,,,,,
kabattu,L1086627,,,noun,liver;mind;mood,139,,,,,,,,,,,
kabātu,L1086628,,,verb,honour,139,,,,,,DUGUD,,,,,
kabbaru,L1086629,,,adj,very thick,140,,,,,,GUR₄.GUR₄,,,,,
kabbu,L1086630,,,adj,glowing,140,,,,,,,,,,,
kabtu,L1086631,,,adj,heavy;honored,140,,,,,,DUGUD;IDIM,,,,,
kadrû,L1086632,,,noun,gift,141,,,,,,,,,,,
kakkišu,L1086633,,,noun,weasel,141,,,,,,,,,,,
kakku,L1086634,,,noun,weapon-mark;weapon,141,,,,,,GIŠ.TUKUL,,,,,
kallâmāri,L1086635,,,adv,in the early morning,142,,,,,,,,,,,
kalû,L1086636,,,adj,detained,143,,,,,,,,,,,
kalû,L1086637,,,verb,arrest;hinder;hold back,143,,,,,,GUL,,,,,
kalû,L1086638,,,noun,lamentation-priest,143,,,,,,LU₂.GALA,,,,,
kalû,L1086639,,,det,all;totality;whole,143,,,,,,DU₃;DU₃.A.BI,,,,,
kalūmu,L1086640,,,noun,lamb,143,,,,,,UDU.SILA₄,,,,,
